Place,Month,Users,Gender,Alcohol,Result
DUBLIN,October,Car,female,no,Injured
DUBLIN,October,Car,male,yes,Injured
CORK,November,Car,male,no,Injured
TIPPERARY,January,Car,female,yes,Injured
DUBLIN,July,Car,male,no,Killed
KILDARE,October,Car,female,no,Injured
MAYO,April,Car,female,no,Injured
MONAGHAN,August,Cyclists,male,no,Injured
DUBLIN,February,Car,female,no,Injured
DONEGAL,June,Motorbike,female,no,Injured
ROSCOMMON,June,Pedestrians,female,no,Injured
CLARE,March,Pedestrians,male,yes,Injured
WEXFORD,August,Car,male,no,Injured
KILDARE,December,Car,female,no,Killed
TIPPERARY,May,Motorbike,male,no,Injured
KILKENNY,May,Car,male,no,Injured
DUBLIN,May,Car,male,yes,Injured
DUBLIN,April,Cyclists,male,no,Injured
KERRY,May,Pedestrians,female,no,Injured
WEXFORD,February,Car,female,yes,Injured
DONEGAL,September,Car,female,yes,Injured
GALWAY,February,Motorbike,male,yes,Injured
DUBLIN,October,Car,male,yes,Injured
MEATH,March,Cyclists,male,no,Injured
MONAGHAN,February,Car,male,no,Injured
DUBLIN,March,Cyclists,male,no,Injured
DONEGAL,April,Car,male,no,Injured
CORK,August,Car,male,no,Injured
DONEGAL,August,Car,female,no,Injured
DUBLIN,August,Car,male,no,Injured
KILKENNY,September,Cyclists,female,no,Injured
TIPPERARY,March,Car,male,no,Injured
CORK,July,Motorbike,male,no,Injured
WEXFORD,July,Car,female,no,Injured
LONGFORD,August,Car,male,no,Injured
MAYO,December,Car,male,no,Injured
WICKLOW,December,Motorbike,male,no,Injured
DUBLIN,September,Cyclists,male,no,Injured
KERRY,September,Car,male,no,Injured
LIMERICK COUNTY,June,Car,male,no,Injured
GALWAY,February,Car,female,yes,Injured
DUBLIN,January,Pedestrians,female,no,Injured
CORK,December,Car,female,yes,Injured
DUBLIN,September,Car,female,no,Injured
MEATH,December,Car,female,no,Injured
LIMERICK COUNTY,May,Car,male,no,Injured
MONAGHAN,September,Car,male,no,Injured
KERRY,March,Car,male,yes,Injured
DUBLIN,October,Cyclists,female,no,Injured
LAOIS,November,Cyclists,female,no,Injured
DUBLIN,April,Car,male,no,Injured
CAVAN,June,Pedestrians,male,yes,Injured
WATERFORD,November,Car,male,no,Injured
DUBLIN,January,Car,female,yes,Injured
DUBLIN,December,Car,female,yes,Injured
MAYO,February,Car,male,no,Injured
WEXFORD,November,Car,male,no,Injured
CORK,December,Cyclists,male,yes,Injured
CORK,July,Cyclists,male,no,Injured
DUBLIN,April,Car,male,no,Injured
DUBLIN,January,Car,male,no,Injured
GALWAY,September,Cyclists,male,no,Injured
ROSCOMMON,August,Cyclists,male,no,Injured
TIPPERARY,November,Pedestrians,female,no,Injured
KILKENNY,November,Car,male,yes,Injured
DUBLIN,November,Car,female,no,Injured
DONEGAL,July,Motorbike,male,no,Injured
MAYO,March,Car,female,yes,Injured
DUBLIN,October,Car,female,no,Injured
KERRY,March,Car,male,no,Injured
MEATH,March,Car,male,no,Injured
DUBLIN,December,Car,female,no,Injured
CORK,August,Pedestrians,female,no,Injured
CLARE,June,Car,male,yes,Injured
CORK,January,Car,female,yes,Injured
SLIGO,June,Car,male,no,Injured
CORK,June,Car,female,no,Injured
DUBLIN,March,Car,male,no,Injured
CLARE,November,Car,male,no,Injured
LIMERICK COUNTY,May,Pedestrians,male,yes,Injured
DUBLIN,June,Cyclists,male,yes,Injured
DUBLIN,March,Car,male,no,Injured
CORK,February,Pedestrians,female,no,Injured
DUBLIN,December,Car,male,yes,Injured
DUBLIN,February,Car,male,yes,Injured
GALWAY,July,Car,female,no,Injured
DUBLIN,December,Car,female,no,Injured
CORK,October,Car,female,yes,Injured
MEATH,November,Pedestrians,female,yes,Injured
CORK,March,Cyclists,female,yes,Injured
DUBLIN,November,Car,female,no,Injured
DUBLIN,August,Car,male,no,Injured
DUBLIN,October,Car,male,yes,Injured
LIMERICK COUNTY,May,Car,male,no,Injured
KERRY,March,Car,female,yes,Injured
DONEGAL,March,Car,female,no,Killed
GALWAY,April,Car,female,no,Injured
DUBLIN,July,Car,male,yes,Injured
LOUTH,July,Cyclists,male,yes,Injured
DUBLIN,April,Car,male,no,Injured
SLIGO,May,Car,male,yes,Injured
KERRY,June,Cyclists,male,yes,Injured
GALWAY,March,Car,male,no,Injured
DUBLIN,June,Car,male,yes,Injured
DONEGAL,October,Car,male,no,Injured
GALWAY,November,Car,female,no,Injured
WICKLOW,May,Pedestrians,female,no,Injured
CORK,June,Car,male,yes,Injured
DUBLIN,July,Pedestrians,female,no,Injured
MONAGHAN,May,Pedestrians,male,no,Injured
LIMERICK COUNTY,April,Car,male,yes,Injured
DUBLIN,August,Car,female,yes,Injured
DUBLIN,March,Car,male,no,Injured
DUBLIN,May,Car,male,no,Injured
KILKENNY,October,Car,male,no,Injured
MAYO,May,Pedestrians,male,yes,Injured
TIPPERARY,June,Car,female,no,Injured
LIMERICK COUNTY,October,Car,female,yes,Injured
DUBLIN,December,Pedestrians,female,yes,Injured
WESTMEATH,June,Car,female,no,Injured
MEATH,February,Car,female,no,Injured
DUBLIN,October,Car,male,no,Injured
DUBLIN,September,Car,female,no,Killed
TIPPERARY,March,Car,male,no,Injured
CORK,March,Car,male,yes,Injured
LEITRIM,September,Pedestrians,male,no,Injured
DUBLIN,August,Car,female,no,Injured
ROSCOMMON,May,Car,female,no,Injured
DUBLIN,February,Car,female,yes,Injured
MAYO,November,Car,female,no,Injured
DONEGAL,December,Car,male,no,Injured
GALWAY,June,Car,male,no,Injured
MONAGHAN,March,Car,female,no,Injured
DUBLIN,April,Car,female,yes,Injured
CORK,July,Car,female,yes,Killed
LIMERICK COUNTY,December,Motorbike,male,yes,Killed
MEATH,October,Car,male,yes,Injured
DUBLIN,September,Car,male,no,Injured
DUBLIN,January,Car,male,no,Injured
WATERFORD,November,Car,male,yes,Injured
TIPPERARY,August,Car,male,yes,Injured
LOUTH,December,Pedestrians,male,yes,Injured
KILDARE,July,Motorbike,female,yes,Injured
OFFALY,January,Pedestrians,male,yes,Injured
WATERFORD,December,Car,male,no,Injured
CARLOW,November,Car,female,no,Injured
DUBLIN,May,Car,female,no,Injured
KILDARE,June,Car,female,no,Injured
MAYO,February,Car,male,no,Injured
CORK,February,Car,male,yes,Injured
DUBLIN,September,Car,male,no,Injured
DUBLIN,December,Car,male,no,Injured
DUBLIN,September,Cyclists,male,no,Injured
GALWAY,April,Car,male,no,Injured
LIMERICK COUNTY,October,Pedestrians,male,yes,Injured
GALWAY,December,Car,male,no,Injured
LAOIS,June,Car,female,yes,Injured
KILDARE,July,Car,male,no,Injured
DUBLIN,September,Car,male,no,Killed
CARLOW,March,Pedestrians,female,no,Injured
DONEGAL,July,Car,female,no,Injured
DUBLIN,May,Pedestrians,male,no,Injured
CORK,October,Car,male,yes,Injured
KILKENNY,September,Car,male,no,Injured
KILKENNY,October,Car,male,no,Killed
GALWAY,November,Motorbike,male,no,Injured
DUBLIN,November,Motorbike,female,yes,Injured
LIMERICK COUNTY,October,Car,female,no,Injured
DONEGAL,May,Car,female,no,Injured
CARLOW,May,Car,female,yes,Injured
MAYO,May,Cyclists,female,yes,Injured
DUBLIN,April,Car,male,no,Injured
LOUTH,August,Car,male,yes,Injured
DONEGAL,December,Car,female,no,Injured
CORK,August,Car,female,no,Injured
DUBLIN,January,Car,male,no,Injured
LOUTH,March,Pedestrians,male,yes,Injured
CORK,December,Car,male,yes,Injured
DONEGAL,January,Pedestrians,female,no,Injured
DUBLIN,May,Car,male,no,Injured
LAOIS,June,Cyclists,male,no,Injured
MEATH,December,Car,female,no,Injured
CORK,February,Pedestrians,female,no,Injured
LAOIS,December,Car,male,yes,Injured
DUBLIN,May,Pedestrians,female,yes,Injured
LIMERICK COUNTY,July,Car,male,yes,Injured
DONEGAL,February,Motorbike,male,no,Injured
KERRY,August,Motorbike,male,no,Injured
CORK,May,Car,female,yes,Injured
CAVAN,September,Car,female,no,Injured
GALWAY,November,Car,female,no,Injured
DONEGAL,September,Car,male,no,Injured
LEITRIM,January,Pedestrians,male,no,Injured
KERRY,September,Cyclists,female,yes,Injured
MEATH,August,Motorbike,male,yes,Injured
DUBLIN,March,Car,male,yes,Injured
WICKLOW,December,Car,male,no,Injured
KERRY,July,Car,female,no,Injured
GALWAY,May,Car,male,no,Injured
MEATH,November,Pedestrians,male,yes,Injured
KILDARE,July,Pedestrians,female,no,Injured
DUBLIN,August,Car,male,no,Injured
GALWAY,November,Pedestrians,female,no,Injured
DONEGAL,May,Cyclists,male,no,Injured
DUBLIN,March,Pedestrians,female,no,Injured
CLARE,April,Car,female,yes,Injured
GALWAY,January,Motorbike,male,yes,Injured
DUBLIN,March,Cyclists,male,yes,Injured
KERRY,July,Pedestrians,male,no,Injured
CAVAN,April,Pedestrians,male,yes,Injured
KILDARE,February,Pedestrians,female,no,Injured
DUBLIN,October,Car,male,yes,Injured
KILDARE,September,Pedestrians,female,yes,Injured
MAYO,August,Car,male,yes,Injured
DUBLIN,February,Car,female,no,Injured
LIMERICK COUNTY,July,Car,female,yes,Injured
DUBLIN,November,Pedestrians,male,yes,Injured
WICKLOW,January,Car,female,yes,Injured
DUBLIN,November,Pedestrians,female,yes,Injured
WEXFORD,July,Cyclists,male,yes,Injured
DUBLIN,March,Car,female,yes,Injured
GALWAY,December,Car,female,no,Injured
OFFALY,December,Cyclists,female,no,Injured
LOUTH,April,Car,female,yes,Injured
LOUTH,April,Car,female,no,Injured
DUBLIN,May,Car,female,no,Injured
MEATH,December,Car,female,no,Injured
WESTMEATH,October,Car,male,yes,Injured
DUBLIN,October,Cyclists,male,no,Injured
KERRY,August,Cyclists,female,no,Killed
CORK,October,Car,female,no,Injured
DUBLIN,December,Car,female,no,Injured
GALWAY,July,Car,male,no,Injured
WATERFORD,March,Pedestrians,female,no,Injured
CORK,February,Car,female,yes,Injured
MAYO,February,Car,female,no,Injured
KERRY,August,Car,female,no,Injured
KILKENNY,January,Motorbike,male,no,Injured
CAVAN,December,Car,female,yes,Injured
CORK,October,Car,female,yes,Injured
DUBLIN,August,Car,male,yes,Injured
CARLOW,September,Car,female,no,Injured
LIMERICK COUNTY,September,Car,male,no,Injured
TIPPERARY,November,Car,female,no,Injured
KERRY,April,Car,male,no,Injured
KERRY,January,Pedestrians,male,no,Injured
KILKENNY,August,Pedestrians,male,no,Injured
DUBLIN,April,Car,female,no,Injured
DUBLIN,July,Pedestrians,female,no,Injured
KILDARE,February,Car,male,yes,Injured
OFFALY,June,Car,male,no,Injured
DONEGAL,December,Car,male,no,Injured
DUBLIN,February,Car,male,yes,Injured
MAYO,March,Car,male,yes,Injured
DUBLIN,June,Car,male,no,Injured
CLARE,March,Car,female,yes,Injured
CORK,October,Motorbike,female,no,Injured
DONEGAL,January,Car,male,no,Injured
GALWAY,December,Cyclists,male,yes,Injured
LEITRIM,March,Pedestrians,male,yes,Injured
TIPPERARY,December,Pedestrians,female,no,Injured
WATERFORD,March,Pedestrians,male,no,Injured
DUBLIN,June,Car,male,yes,Injured
MEATH,April,Car,male,yes,Injured
DUBLIN,December,Cyclists,female,yes,Injured
DUBLIN,January,Motorbike,male,yes,Injured
DUBLIN,May,Car,male,no,Injured
DUBLIN,August,Car,male,yes,Injured
DUBLIN,August,Car,male,no,Injured
DUBLIN,July,Car,male,no,Injured
CORK,December,Cyclists,male,no,Injured
WEXFORD,March,Car,female,no,Injured
GALWAY,November,Car,female,no,Injured
WESTMEATH,October,Pedestrians,male,no,Injured
MAYO,February,Car,male,yes,Injured
GALWAY,February,Pedestrians,male,no,Injured
MEATH,April,Car,male,no,Injured
LAOIS,October,Cyclists,male,no,Injured
DUBLIN,August,Pedestrians,female,no,Injured
KERRY,March,Pedestrians,male,no,Injured
LOUTH,June,Car,female,no,Injured
DUBLIN,July,Car,female,no,Injured
CARLOW,June,Car,male,no,Injured
DUBLIN,August,Car,female,no,Injured
MONAGHAN,September,Car,male,no,Injured
WESTMEATH,August,Cyclists,male,no,Injured
LAOIS,February,Car,male,no,Injured
CORK,August,Cyclists,female,no,Injured
MEATH,December,Car,male,yes,Injured
KERRY,March,Car,male,no,Injured
MEATH,January,Car,male,yes,Injured
TIPPERARY,January,Cyclists,male,no,Injured
WEXFORD,September,Car,male,no,Injured
LIMERICK COUNTY,June,Car,male,no,Injured
TIPPERARY,March,Car,male,no,Injured
MAYO,February,Car,male,no,Injured
MAYO,June,Car,male,yes,Injured
TIPPERARY,February,Car,male,yes,Injured
WESTMEATH,November,Car,male,no,Injured
WATERFORD,September,Car,female,yes,Injured
DUBLIN,November,Car,female,no,Injured
CORK,July,Pedestrians,female,no,Injured
ROSCOMMON,March,Car,male,yes,Injured
KERRY,June,Pedestrians,male,no,Injured
KERRY,September,Car,male,yes,Injured
ROSCOMMON,January,Motorbike,male,no,Killed
CLARE,January,Cyclists,male,no,Injured
TIPPERARY,July,Car,female,no,Injured
CLARE,April,Motorbike,male,no,Injured
LOUTH,June,Car,male,yes,Injured
KILDARE,April,Car,male,yes,Injured
LIMERICK COUNTY,June,Car,male,no,Injured
DUBLIN,May,Cyclists,female,no,Injured
DUBLIN,January,Car,male,no,Injured
GALWAY,August,Car,female,yes,Injured
TIPPERARY,April,Car,female,yes,Injured
KILDARE,June,Pedestrians,male,no,Injured
LIMERICK COUNTY,September,Car,female,yes,Injured
DUBLIN,May,Pedestrians,female,yes,Injured
WICKLOW,July,Car,male,yes,Injured
MAYO,September,Cyclists,male,no,Injured
DUBLIN,October,Car,male,no,Injured
LIMERICK COUNTY,May,Car,female,no,Injured
KERRY,May,Car,female,yes,Injured
TIPPERARY,April,Cyclists,female,yes,Injured
DUBLIN,October,Car,male,yes,Injured
CORK,December,Car,male,no,Injured
DONEGAL,July,Car,female,no,Injured
DUBLIN,July,Car,male,no,Injured
TIPPERARY,September,Cyclists,male,no,Injured
DUBLIN,September,Motorbike,male,no,Injured
LAOIS,December,Car,male,yes,Injured
LAOIS,April,Car,male,yes,Killed
DUBLIN,January,Car,male,yes,Injured
CLARE,March,Car,female,no,Injured
MAYO,April,Pedestrians,male,yes,Injured
DUBLIN,June,Motorbike,female,no,Injured
DUBLIN,January,Car,female,yes,Injured
DUBLIN,December,Cyclists,male,no,Injured
LIMERICK COUNTY,February,Pedestrians,male,yes,Injured
CORK,December,Car,male,yes,Injured
KILDARE,December,Car,female,no,Injured
CAVAN,September,Pedestrians,female,no,Injured
WICKLOW,October,Pedestrians,male,yes,Injured
KILKENNY,February,Cyclists,male,no,Injured
DUBLIN,July,Cyclists,female,no,Injured
CORK,March,Car,female,yes,Injured
LOUTH,January,Car,female,no,Injured
WATERFORD,July,Car,female,yes,Injured
DUBLIN,March,Car,female,no,Injured
MEATH,August,Cyclists,female,no,Injured
DUBLIN,February,Car,male,no,Injured
WEXFORD,March,Car,male,no,Injured
LOUTH,November,Car,female,yes,Injured
LAOIS,August,Car,male,no,Injured
WESTMEATH,February,Car,female,yes,Injured
DUBLIN,May,Car,male,no,Injured
WESTMEATH,September,Car,female,no,Injured
LIMERICK COUNTY,February,Car,male,yes,Injured
MEATH,October,Car,female,yes,Injured
KILDARE,May,Car,male,no,Injured
ROSCOMMON,December,Car,female,yes,Injured
LOUTH,January,Car,male,no,Injured
CORK,January,Cyclists,female,yes,Injured
KILKENNY,February,Car,male,no,Injured
DUBLIN,December,Car,female,no,Killed
WESTMEATH,May,Pedestrians,male,no,Injured
DONEGAL,July,Car,female,no,Injured
DUBLIN,June,Car,female,no,Injured
CLARE,August,Car,male,yes,Injured
DUBLIN,July,Car,female,no,Injured
KILDARE,January,Car,male,yes,Injured
KILDARE,July,Car,female,no,Injured
WATERFORD,September,Motorbike,male,no,Injured
DUBLIN,January,Cyclists,male,no,Injured
DUBLIN,April,Car,female,no,Injured
SLIGO,October,Car,female,no,Injured
KILDARE,July,Car,male,yes,Injured
LIMERICK COUNTY,October,Car,female,yes,Injured
DUBLIN,November,Cyclists,male,yes,Injured
GALWAY,October,Pedestrians,female,no,Injured
LAOIS,June,Car,female,yes,Injured
CORK,April,Car,male,yes,Injured
CLARE,July,Pedestrians,female,yes,Injured
CORK,January,Car,male,no,Injured
GALWAY,October,Pedestrians,male,no,Injured
CAVAN,May,Pedestrians,female,no,Injured
LAOIS,April,Car,female,yes,Injured
CORK,January,Car,female,no,Injured
DUBLIN,December,Pedestrians,female,no,Injured
DUBLIN,February,Car,male,no,Injured
CORK,June,Pedestrians,male,no,Injured
DUBLIN,June,Car,male,yes,Injured
CAVAN,October,Car,female,no,Injured
WICKLOW,December,Car,male,yes,Injured
KILKENNY,June,Car,female,no,Killed
DUBLIN,December,Car,male,no,Injured
CAVAN,February,Pedestrians,female,no,Injured
DUBLIN,June,Car,female,yes,Injured
DUBLIN,June,Cyclists,female,no,Injured
WESTMEATH,January,Car,male,no,Injured
DUBLIN,September,Car,female,yes,Injured
KILKENNY,October,Car,male,no,Injured
LIMERICK COUNTY,August,Pedestrians,female,no,Injured
DONEGAL,May,Motorbike,male,yes,Injured
GALWAY,September,Car,female,no,Injured
MEATH,May,Car,female,no,Injured
CORK,January,Car,female,no,Injured
KILKENNY,February,Motorbike,male,no,Injured
CAVAN,October,Car,female,yes,Injured
CARLOW,June,Car,male,no,Injured
CORK,November,Car,male,no,Injured
GALWAY,March,Car,male,yes,Injured
WESTMEATH,December,Car,male,yes,Injured
DUBLIN,May,Car,male,no,Injured
CORK,December,Cyclists,male,no,Injured
TIPPERARY,April,Car,male,no,Injured
KERRY,April,Motorbike,female,no,Injured
DUBLIN,February,Car,female,no,Injured
WEXFORD,February,Car,male,yes,Injured
WEXFORD,November,Pedestrians,male,yes,Injured
DUBLIN,May,Car,female,no,Injured
DONEGAL,May,Cyclists,female,yes,Injured
KILDARE,August,Car,male,yes,Injured
SLIGO,March,Motorbike,female,no,Injured
DUBLIN,May,Car,male,no,Injured
KILDARE,September,Cyclists,male,yes,Injured
CORK,May,Cyclists,female,yes,Injured
DONEGAL,August,Pedestrians,female,yes,Injured
MEATH,March,Car,male,no,Injured
CORK,March,Cyclists,female,yes,Injured
DUBLIN,October,Car,male,no,Injured
LONGFORD,September,Cyclists,male,yes,Injured
CAVAN,January,Motorbike,female,no,Injured
CLARE,August,Car,male,no,Killed
DUBLIN,October,Car,female,yes,Injured
DUBLIN,November,Car,male,no,Injured
DUBLIN,March,Pedestrians,male,no,Injured
OFFALY,April,Car,female,no,Injured
CLARE,January,Motorbike,male,no,Injured
DUBLIN,July,Cyclists,male,no,Injured
LEITRIM,January,Cyclists,male,yes,Injured
CORK,September,Car,female,yes,Injured
TIPPERARY,November,Pedestrians,female,no,Injured
LIMERICK COUNTY,November,Car,male,no,Injured
CORK,June,Car,female,no,Injured
DONEGAL,January,Car,female,no,Injured
MAYO,December,Cyclists,male,no,Injured
DUBLIN,June,Cyclists,male,yes,Injured
GALWAY,January,Car,female,yes,Injured
TIPPERARY,February,Car,male,no,Injured
CORK,February,Pedestrians,female,no,Injured
WEXFORD,August,Motorbike,male,yes,Injured
CLARE,December,Car,female,no,Injured
CORK,June,Car,female,no,Killed
DUBLIN,June,Car,female,no,Injured
OFFALY,March,Cyclists,male,no,Injured
DUBLIN,August,Car,female,yes,Injured
LIMERICK COUNTY,May,Pedestrians,female,no,Injured
CORK,July,Car,female,no,Injured
CORK,August,Car,female,no,Injured
KERRY,October,Car,male,no,Injured
MAYO,December,Car,female,no,Injured
GALWAY,August,Car,female,no,Injured
TIPPERARY,October,Car,female,yes,Injured
LIMERICK COUNTY,November,Car,male,yes,Injured
DUBLIN,September,Car,male,no,Injured
DUBLIN,August,Car,male,yes,Injured
DUBLIN,February,Car,male,no,Injured
MEATH,February,Car,male,no,Injured
WEXFORD,February,Car,male,no,Injured
TIPPERARY,August,Cyclists,female,no,Injured
DUBLIN,December,Car,male,no,Injured
DUBLIN,July,Car,female,yes,Injured
KILKENNY,November,Car,female,yes,Injured
KERRY,March,Pedestrians,male,no,Injured
DUBLIN,November,Car,male,no,Injured
CORK,October,Motorbike,female,no,Injured
LOUTH,June,Car,male,no,Injured
CORK,April,Car,male,yes,Injured
TIPPERARY,August,Car,male,no,Injured
TIPPERARY,March,Pedestrians,male,no,Injured
LOUTH,May,Car,female,yes,Injured
GALWAY,October,Car,male,yes,Injured
LOUTH,February,Car,female,no,Injured
DUBLIN,September,Car,female,yes,Injured
MONAGHAN,July,Pedestrians,male,yes,Injured
MEATH,June,Car,female,no,Injured
CORK,July,Car,female,no,Injured
DUBLIN,January,Motorbike,male,no,Injured
DUBLIN,October,Car,female,yes,Injured
DUBLIN,November,Cyclists,female,no,Injured
KILDARE,April,Car,female,no,Injured
CLARE,February,Motorbike,male,no,Injured
LIMERICK COUNTY,August,Cyclists,male,no,Injured
DONEGAL,September,Car,male,no,Injured
DUBLIN,March,Car,female,no,Injured
DUBLIN,November,Car,male,no,Injured
DUBLIN,September,Pedestrians,male,no,Injured
DUBLIN,October,Cyclists,male,no,Killed
DONEGAL,December,Motorbike,male,no,Injured
CORK,December,Cyclists,male,no,Injured
KILDARE,March,Car,female,no,Injured
KILKENNY,August,Car,male,yes,Injured
CORK,December,Car,female,yes,Injured
DUBLIN,November,Car,female,no,Killed
DUBLIN,September,Pedestrians,male,no,Injured
ROSCOMMON,August,Pedestrians,male,yes,Injured
CORK,May,Car,male,yes,Injured
KILDARE,February,Car,female,no,Injured
KILDARE,June,Pedestrians,female,no,Injured
DUBLIN,November,Pedestrians,female,no,Injured
DUBLIN,August,Cyclists,female,yes,Injured
WEXFORD,December,Car,male,yes,Injured
KILDARE,June,Cyclists,male,yes,Injured
LIMERICK COUNTY,October,Pedestrians,male,no,Killed
GALWAY,May,Car,male,yes,Injured
LIMERICK COUNTY,June,Car,male,no,Injured
KILKENNY,April,Car,male,no,Injured
CORK,December,Car,female,no,Injured
DUBLIN,December,Motorbike,female,no,Injured
GALWAY,November,Car,male,no,Injured
CORK,April,Car,male,yes,Injured
DUBLIN,March,Motorbike,male,no,Injured
DUBLIN,October,Car,female,no,Injured
SLIGO,February,Car,male,no,Injured
DUBLIN,March,Car,female,no,Injured
DUBLIN,February,Car,male,no,Injured
DUBLIN,July,Car,female,no,Injured
LIMERICK COUNTY,January,Car,male,no,Injured
CORK,July,Car,male,no,Injured
DONEGAL,December,Car,male,no,Injured
LOUTH,December,Cyclists,female,no,Injured
MEATH,February,Motorbike,female,yes,Injured
LAOIS,November,Car,male,no,Injured
TIPPERARY,March,Car,male,yes,Injured
CORK,July,Car,female,yes,Injured
LOUTH,March,Pedestrians,male,yes,Injured
WESTMEATH,July,Car,female,yes,Injured
CORK,May,Car,female,yes,Injured
DUBLIN,March,Pedestrians,female,no,Injured
KERRY,April,Car,male,yes,Injured
DUBLIN,December,Car,female,no,Injured
LONGFORD,December,Car,female,no,Injured
CLARE,October,Car,female,yes,Injured
CORK,February,Car,male,yes,Injured
LOUTH,October,Car,male,no,Injured
WICKLOW,November,Cyclists,male,yes,Injured
WESTMEATH,February,Car,female,no,Injured
WATERFORD,April,Car,male,no,Injured
CORK,March,Car,male,yes,Injured
CORK,July,Car,female,yes,Injured
CORK,April,Car,female,yes,Injured
KERRY,October,Car,male,no,Injured
TIPPERARY,April,Car,male,no,Injured
KERRY,July,Pedestrians,male,yes,Injured
MEATH,April,Car,female,yes,Injured
DONEGAL,March,Cyclists,male,yes,Injured
TIPPERARY,August,Car,male,yes,Injured
DONEGAL,February,Car,male,no,Injured
CLARE,July,Car,female,no,Injured
DUBLIN,November,Motorbike,male,no,Injured
KILDARE,January,Car,male,no,Injured
WICKLOW,December,Car,male,yes,Injured
CORK,September,Car,male,no,Injured
DUBLIN,August,Pedestrians,female,no,Injured
CORK,August,Car,male,yes,Injured
DUBLIN,December,Motorbike,female,yes,Injured
DUBLIN,November,Motorbike,female,no,Injured
GALWAY,January,Car,male,no,Injured
DUBLIN,December,Motorbike,female,no,Injured
WESTMEATH,October,Car,female,yes,Injured
MEATH,December,Cyclists,female,no,Injured
TIPPERARY,May,Car,female,no,Injured
CORK,October,Pedestrians,male,yes,Injured
KILDARE,March,Pedestrians,female,yes,Injured
DUBLIN,May,Car,male,yes,Injured
TIPPERARY,March,Pedestrians,male,no,Injured
CAVAN,May,Car,female,yes,Injured
CORK,November,Motorbike,male,no,Injured
DUBLIN,July,Cyclists,male,no,Injured
DUBLIN,February,Car,female,no,Injured
DUBLIN,April,Cyclists,male,no,Injured
CORK,November,Car,female,yes,Injured
CORK,February,Pedestrians,female,yes,Injured
DUBLIN,July,Pedestrians,female,yes,Injured
WEXFORD,March,Car,female,no,Injured
DONEGAL,March,Car,female,yes,Injured
MAYO,December,Cyclists,male,yes,Injured
DUBLIN,December,Car,male,yes,Injured
CLARE,February,Car,male,no,Injured
CAVAN,May,Car,female,yes,Injured
CORK,May,Motorbike,female,yes,Injured
GALWAY,June,Car,male,yes,Injured
MEATH,August,Car,female,yes,Injured
MAYO,January,Car,female,no,Injured
DUBLIN,March,Car,male,yes,Injured
GALWAY,July,Cyclists,male,no,Injured
OFFALY,March,Car,male,no,Killed
SLIGO,February,Car,male,no,Injured
DUBLIN,May,Car,male,no,Injured
CARLOW,May,Car,male,no,Injured
CLARE,March,Car,male,no,Injured
MAYO,November,Car,female,yes,Injured
DUBLIN,November,Pedestrians,male,no,Injured
GALWAY,May,Cyclists,male,no,Injured
DONEGAL,March,Cyclists,male,yes,Injured
SLIGO,November,Car,female,yes,Injured
GALWAY,February,Car,female,no,Injured
KERRY,May,Car,female,yes,Injured
DUBLIN,May,Car,female,no,Injured
GALWAY,April,Car,male,yes,Injured
CARLOW,February,Cyclists,male,no,Injured
DUBLIN,July,Car,male,no,Injured
DUBLIN,July,Car,female,yes,Injured
DUBLIN,August,Car,female,yes,Injured
CORK,September,Car,male,no,Injured
KERRY,July,Cyclists,male,yes,Injured
MEATH,May,Car,female,yes,Injured
WEXFORD,May,Cyclists,male,no,Injured
GALWAY,August,Car,female,no,Injured
KILDARE,July,Car,female,no,Injured
DUBLIN,November,Car,male,no,Injured
CORK,September,Car,male,no,Injured
CORK,January,Car,male,no,Injured
MAYO,December,Pedestrians,female,no,Injured
MAYO,August,Car,female,yes,Injured
DONEGAL,February,Car,female,yes,Injured
DUBLIN,April,Cyclists,male,no,Killed
KILDARE,July,Car,female,yes,Injured
CORK,March,Car,female,yes,Injured
MEATH,June,Car,female,no,Injured
LAOIS,August,Car,male,yes,Injured
KILKENNY,September,Car,male,yes,Injured
LOUTH,July,Car,male,no,Injured
WICKLOW,March,Car,female,yes,Injured
KILDARE,May,Car,female,no,Injured
TIPPERARY,November,Car,male,yes,Injured
DUBLIN,February,Car,female,no,Injured
LIMERICK COUNTY,December,Car,female,yes,Injured
WESTMEATH,September,Car,male,no,Injured
LIMERICK COUNTY,November,Car,female,yes,Injured
DUBLIN,August,Car,male,no,Injured
LAOIS,February,Car,male,no,Injured
DUBLIN,September,Car,male,no,Injured
DUBLIN,June,Car,male,yes,Injured
KILKENNY,April,Cyclists,male,no,Injured
CORK,June,Cyclists,male,yes,Injured
GALWAY,August,Car,female,no,Injured
WEXFORD,June,Pedestrians,female,yes,Injured
DUBLIN,October,Car,male,no,Injured
DONEGAL,June,Car,male,no,Injured
GALWAY,November,Cyclists,male,no,Injured
SLIGO,August,Pedestrians,female,yes,Injured
SLIGO,June,Cyclists,female,no,Injured
ROSCOMMON,July,Car,male,no,Injured
CARLOW,January,Car,female,yes,Injured
DUBLIN,January,Pedestrians,male,no,Injured
WICKLOW,November,Pedestrians,female,yes,Injured
CORK,April,Car,male,yes,Injured
GALWAY,December,Car,female,no,Injured
MEATH,December,Car,female,no,Injured
CORK,January,Cyclists,male,no,Injured
LIMERICK COUNTY,January,Car,female,no,Injured
GALWAY,July,Pedestrians,female,no,Injured
